sku;tipo;nombre;precioBase;extra;etiquetas
A068;CURSO;Curso NoSQL Avanzado;41.11;60;nosql|backend|refactoring
A069;EBOOK;Patrones AI Esencial;7.75;456;ai|networking|data|mobile
A070;APP;App ML Pro;9.62;IOS;ml|security|python|gcp
A071;CURSO;Curso Mobile Avanzado;61.67;24;mobile|excel|graphql
A072;EBOOK;Patrones Kotlin Esencial;13.09;441;kotlin|git|security|swift
A073;APP;App Swift Pro;13.48;ANDROID;swift|monitoring|graphql|java
A074;CURSO;Curso Spring Avanzado;56.27;59;spring|graphql|docker
A075;EBOOK;Patrones Hibernate Esencial;34.20;458;hibernate|security|logging|nosql
A076;APP;App GraphQL Pro;7.60;WEB;graphql|spring|jwt|sql
A077;CURSO;Curso REST Avanzado;59.34;20;rest|swift|oauth|observability
A078;EBOOK;Patrones Serverless Esencial;32.59;428;serverless|ux|java|nosql
A079;APP;App Terraform Pro;4.30;IOS;terraform|rest|oauth|react
A080;CURSO;Curso CI/CD Avanzado;55.49;58;refactoring|devops|sql
A081;EBOOK;Patrones Git Esencial;19.03;463;git|linux|vue
A082;APP;App Jenkins Pro;10.09;ANDROID;jenkins|backend|testing
A083;CURSO;Curso Ansible Avanzado;31.78;38;ansible|hibernate|clean-code
A084;EBOOK;Patrones ETL Esencial;21.14;513;etl|vue|cloud|ddd
A086;CURSO;Curso Pandas Avanzado;56.09;11;pandas|serverless|microservices
A087;EBOOK;Patrones Excel Esencial;29.04;444;excel|ui|logging|git
A088;APP;App Design Patterns Pro;6.40;WEB;aws|observability|terraform|rest
A089;CURSO;Curso Clean Code Avanzado;33.06;23;networking|jenkins|ci-cd|clean-code
A090;EBOOK;Patrones DDD Esencial;9.36;570;ddd|sql|vue
A091;APP;App Refactoring Pro;4.07;IOS;refactoring|cloud|angular
A092;CURSO;Curso OAuth Avanzado;44.08;17;oauth|hibernate|ml
A093;EBOOK;Patrones JWT Esencial;19.98;545;jwt|ux|hibernate
A094;APP;App Monitoring Pro;5.84;WEB;monitoring|spark|swift
A095;CURSO;Curso Logging Avanzado;52.45;30;logging|swift|ux|hibernate
A096;EBOOK;Patrones Observability Esencial;19.83;345;observability|data|graphql|ci-cd
A097;APP;App Linux Pro;0.44;IOS;linux|aws|ux|serverless
A098;CURSO;Curso Networking Avanzado;91.84;47;networking|pandas|spark
A099;EBOOK;Patrones Agile Esencial;24.19;205;agile|serverless|gcp|junit
A100;APP;App Java Pro;3.90;IOS;java|ai|ml
